発言者,発言内容,年月日,会議の名称
整備部長,,2025/11/07,環境建設
都市整備部長,"。
はい。
私からは資料の6から10までを順次ご報告させていただいただきます説明は座って進めさせていただきます。
初めに狩猟の6まちづくり協議会の報告についてであります。
前回の当委員会報告以降のまちづくり協議会についてご報告をいたします。
8月の29日、銀座築地、勝どきおよび晴海それぞれ合同まちづくり協議会を開催いたしました。
議題は記載の通りで、そのうち築地地区まちづくり事業につきましては、事業者の方から8月22日に公表した基本計画を説明し、質疑を行いました。
区の方からは、公表された基本計画を踏まえつつ。",2025/11/07,環境建設
区長議長,"、連名のもと、要望をしてきた歩行者動線など地域にとってよりわかりやすいイメージが持てるよう、この次次回のまちづくり協議会でお示しするとして会議の方を終えました。
そして9月の24日は銀座築地地区30日には勝どきおよび晴海地区の合同まちづくり協議会を開催し、放射動線車両動線のイメージとともに、3枚の具体的なイメージパースをお示しし、ご意見をいただいたところでございます。
下段に記載の通り、当日の資料、議事要旨につきましては、既に送付をさせていただいてございます。
資料6の説明は以上です。
続きまして資料の7居住継続支援事業補助満了後の対応についてでございます。
開発事業区域内の従前社会人のうち、補助を受けている。
対象従前百貨人の一部の方が、令和8年12月末に30年間の満了を迎えることから、補助満了後の新たな対応として、住み替えが困難な対象者に限り、継続して積み続けられるよう、制度を改正いたします。
表をご覧ください。
現在の地区で、当事業を行ってございますが、晴海1丁目地区が最も早く、当初満了期間を迎え総戸数124戸のうち、今回対象となるのが34個の世帯でございます。
おめくりいただき、2ページ目です。
2の経緯および対応ですが、令和4年度から個別相談会を実施し、補助満了までに積み替えの検討を促す説明を行ってきたところですが、今般の居住者の高齢化による住み替えが難しい現状を踏まえ、福祉的な観点から高齢者世帯と非課税世帯に対して補助満了後も新たな家賃算定により補助を実施してまいります。
3の補助要件および新たな家賃補助算定ですが、対象は全員が65歳以上の高齢者世帯または全員が非課税世帯を新たな対象としてまいります。
なお、その対象者および家賃補助額については個別に案内を行ってまいります。
4の今後のスケジュールです。
11月より満了後の対応に体に関する説明会を実施いたします。
その後、要綱改正予算の可決を経て来年度5月から個別の相談会を実施し、その後申請手続きを随時受け付け令和9年1月から新算定による補助交付を開始してまいります。
なお、来年4月には晴海1丁目地区以外の住宅に関しても、通知を順次行ってまいります。
資料7の説明は以上です。
続きまして、資料8区立住宅等の入居者募集についてでございます。
毎年、転出転居の多い春と秋に記載のように広く募集をかけてございます。
今回は区立住宅が2施設に高齢者住宅が2施設3戸でございます。
恐れ入ります。
次ページをご覧ください。
こちらが募集住宅の概要で、各住宅、それぞれ記載の通り間取り面積また、基準、使用量をお示ししてございます。
いずれも家賃の住宅となりますので、申し込みをされた世帯の所得額によって実際の家賃が確定するものでございます。
恐れ入ります最初のページにお戻りください。
2のスケジュールですが、区のお知らせ11月15日号区ホームページに掲載募集期間は11月の17日から26日まで抽選は12月の23日その後資格審査の上、入居は来年3月上旬となります。
資料8の説明は以上です。
続きまして資料の9です。
中央区耐震改修促進計画の改定について恐れ入ります、適宜資料の方は拡大の上ご覧をいただければと思います。
1の改定の経緯ですが、例えば国や都の動向を踏まえ、5年ごとに計画の改定を行っており、令和3年3月の改定から5年が経過することから、今年度末の改定を行うものでございます。
2の改定概要ですが、大きく3点ありまして、1点目が、令和12年までの5ヶ年計画とし、建物の種別ごとに耐震化の目標を再設定してまいります。
2点目が、近年の地震による被害を踏まえ、2000年基準の施行以前に建てられた住宅も含めた耐震化の目標や、特定緊急輸送道路沿道建築物の耐震化の目標を新たに設定してまいります。
3点目が、2000年基準の施行以前に建てられた木造住宅および木造建築物に対する支援を新たに追加するとともに、新耐震基準の施行以前に建てられた住宅や緊急輸送道路等に係る建築物に対する支援を拡充してまいります。
山の耐震化率の現状と目標の変化ですが、一番左側の令和2年の策定時点と比べ、中ほど、令和7年時点では、耐震化率はいずれの項目も上がっていることがうかがえます。
また、その右、今回の改定目標ですが、もう一つその右側の東京都の目標設定を踏まえつつ、本区のこれまでの進捗を勘案して定めてございます。
恐れ入ります。
くりいただき、2ページをご覧ください。
4の耐震化に対する支援ですが、記載の4点について、今回の計画に盛り込み、来年度からの予算化を検討してまいります。
後の耐震化を促進するための環境整備ですが、耐震促進協議会の運営による普及啓発を初め、アドバイザー派遣パンフレットなど様々なツールを活用しての普及啓発費の活用による推進など多角的に取り組みを行ってまいります。
6の今後のスケジュールですが、委員会報告後、11月末にはパブリックコメントを実施の上、今年度末に計画の背景を予定してございます。
次ページの参考ですが、中央区内の耐震化率の現状として、健康計画に対する達成率等をお示ししてございます。
また、その次のページ別紙1として、今回の耐震改修促進計画の素案をまた後段の方になりますが、30ページ目には別紙2として、中央区住宅耐震化緊急促進アクションプログラムの案を掲載してございますので後ほどください。
資料9の説明は以上です。
続きまして資料の中マンションの建て替え等の円滑化に関する法律および建築基準法施行令の一部改正に伴う中央区事務手数料条例の規定整備1の内容ですが、中ほどの表5をご覧ください。
現行のマンションの建て替え等円滑化に関する法律の題名が、マンションの再生等の円滑化に関する法律に改正されるなど、国において、老朽化するマンションの管理再生が図られるよう、法律の改正建築基準法の施行令が改正されることに伴い、これを引用している本部の事務手数料条例に構成等が生じるため規定整備を行うものでございます。
2の施行予定は、両括弧1については、改正法の施行日の令和8年4月1日両括弧2の建築基準法の施行令は公布の日を予定してございます。
資料中の説明および私からの報告は以上です。
ありがとうございます。
それにつきましては既にご承知の通りですので、よろしくお願いいたします。
ただ、いまの時刻は午後1時52分です。
自由民主党77かがやき中央さん39分公明党さん、39分に会社さん10分令和3、10分となります。
なお、持ち時間には、この後のこの後の議題である請願審査の時間も含め含まれます。
それでは、理事者報告に対する質疑に入ります。
ゲームをお願いいたします。
委員長。",2025/11/07,環境建設
角屋委員,"私の方からは大きく3点、資料1また資料7資料9の中から質問させていただきたいと思います。
まず資料1ですね。
中央区区立、八重洲1丁目地下駐輪場を歌唱の開設ということで、東京駅を使う方または東京駅周辺に仕事で行く方この自転車で定期利用今回の定期利用ということですけども、すごく利便性向上に沈む取り組みというふうに思いました。
また、地域の開発の中で、このちゅ駐輪場を作っていただいたということかなというふうに理解しております。
また、放置自転車も減って、まちの美観に資する取り組みというふうに思いました。
そういった中で、この今回300台の定期利用というのが終了するということでございますが、今回定期利用ということなんですけども、例えばこの時間貸しの検討とかですね。
また、周辺のバイクシェアサービスをちょっと見てみますと、サイクルポートについても比較的少ないんではないかと、東京駅の八重洲口には少ないようにちょっと考えております。
そういった設置というのは、お考えについてどのように考えているのかをお聞かせいただきたいと思います。
委員長。",2025/11/07,環境建設
交通課長交通課長,"はい。
ヤリス1丁目の地下駐輪場でございます。
今回ですね、委員ご案内の通りやりすぎ丁目地下駐輪場こちらの再開発事業と併せまして、300台ほど定期利用者の利用形態ということで開設いたします。
一方で、令和4年にはですね、ヤリス2丁目北地区という地区の再開発事業下でこの中ではやり過ぎ丁目地下駐輪場というものを整備しておりまして、こちらでですね、290台分の1事業が市のそういった利用形態の駐車場を既に整備しております。
ということで、安1丁目と2丁目、それぞれ機能分担をして、放置自転車対策に努めていくということを考えております。
以上でございます。
議長角屋委員ご答弁ありがとうございます。
今ちょっと私も気がついてなかったんですけれども、1丁目2丁目で、定期貸しまた時間勝ちというふうにお話をいただきました。
そういった形で面的なそういった整備をしていくというふうに理解いたしました。
ありがとうございます。
月井に移ります。
次へ資料の7でございます県居住継続援助事業を補助を満了後の対応についてということでございます。
私も御相談をいただいたケースもございます過去にありました。
このコミュニティファンドによって、この地域に限られた街に住み続けられる、そういう取り組みを果す本区としても、している。
そういった中で、昨今では家賃が急騰している。
また、今回の取り組みとしては、継続的にまた福祉的にですね、観点で取り組みをしているということも、すごく良い、良いというかですね、私は取り組みとしてはありがたいということじゃないかなというふうに思っております。
それはやはり、住んでる方も高齢になってしまっている。
また、収入が今もう本当に家賃、晴海の家賃はもうすごく上がっておりますので、そういった意味で区の方としても、もう本当は30年間というご約束の中で、進めてきたところでございますが、そこを福祉的な考えで伸ばしていこうと。
そういった取り組みっていうのはすごく共感する取り組みというふうに思っております。
今回特別大賞従前、釈迦にということでその方は今後も延長されるとまた対象従前借款にのみ載せたいですね。
晴海でいくと一番最初に34個あるということでございます。
この中の方で対象になる。
この34個の中の対象になる方っていうのはどのくらいいらっしゃる。
かですね今回の補助になるというところがまず一点です。
あとですね、ここにも書いてありますけども、令和4年度から個別相談会を開催していったとある意味本当になんていうんですかね。
将来的のことをしっかりと考えていただきたいと、30年前にもお話があったとは思うんですけどもそこのところをしっかりと説明会をしている。
具体的にちょっとこの個別説明会について教えていただきたいと思います。
委員長。",2025/11/07,環境建設
住宅課長,"、住宅課長居住継続援助事業についてもう2点ご質問いただきました。
まず一点目が晴海1丁目の対象従前社会人のみの世帯34校内の新たな補助の対象についてでございます。
実際は世帯の所得に応じて、所得とあと年齢ということになるんですが、実際には申請をいただいてその書類を審査してそれで覚悟確定にはなりますが現在いただいている情報で、ざっくり計算をいたしますと34個のうち19個が新たな補助の対象になろうかという状況でございます。
もう一点個別説明会の状況でございます。
30年で、やはり補助が満了するということで、対象従前社会の方は、そのまま酢水系ていただく場合には家賃負担が増えてしまうと補助がなくなってしまうということですので、そういった世帯における家賃負担がどれぐらいなのかというところも契約なんかも確認をいただきながら、場合によっては住み替えというところも視野に検討いただくような形で、それぞれの個別の方について現状、お住まいの家賃とですね、補助がどれぐらい出ているかというところを個別に資料をお示しをしながら、住み替えの仕方でとか、そういったところも含めて個別に対応させていただいて、いるところでございます。
以上でございます。
委員長　、角屋委員御丁寧にありがとうございます。
はい、個別説明会を令和4年度からしされているそういった中で今回福祉的っていうところがすごくやっぱりあると思います。
もう高齢になって、借りることができないっていうのはやっぱり私もそんな特に最近は、家賃が上がってきてます。
そういった部分では、高齢の方がそもそも高齢の方は一般の民間住宅ですね。
断られるケースって結構あるっていうふうに私は認識しています。
そういった中で今回65歳以上というですね。
一つの福祉的なっていうところで、この主な補助要件っていうのがつけられたのかなっていうふうに私は推測します。
ですね。
そこで、ですねちょっと提案なんですけども、もうすごく私はいいことだと思います。
やはりこの家賃がすごく上がっているっていうこともありますし、自主的な観点から含めてですね、今後、主な補助要件を私の考えなんですけれども、やっぱりうちはおかしいですってこれなしにして、下のですね、新たな家賃補助算定、要するにその人の所得に合わせた形でも使用料を算出するっていうような形でですね、このもう少し広く、ちょっとそこのところは広くなんていうんですかね、救える方を今ので言うとですね、今3419個っていうことで中高校の方がちょっと当然この違うところに行かなければいけないのかもしれないし今の家賃が上がるっていうことだと思いますでていけたわけではないんですけども家賃が上がるっていうところで、その所得に応じれば仮に家賃が上がったとしても、今まで通り住むこともできるんではないかというふうにちょっと私は考えました。
そういう考えについて、本区としていかが考えますでしょうか？委員長　住宅課長住宅課長補助要件についての嘘やはりこの居住継続援助事業法自体は、やはりその30年間の補助ということで、委員からご紹介ありました通り、特別対象従前社会人の方とか住んでいた世帯主の方とその配偶者の方につきましては居住している限り、補助が続くということなんですが、その後に入居された方ですとか、終わりになったお子様ですとかそういった方については30年という期限で補償を目指しているというところでございまして、先ほどからもご質問ありました通り、個別相談会で補助満了につきましては補助がなくなるというところもこちらは周知をしいさせていただきまして、住家も選択肢として、ご負担いただけるような状況も踏まえて、ご検討いただきたいということで、行ってきたところでございますそうした中でやはりその住み替えそのものがやはり困難な方については、30年でもう補助終わりたいよということだと、なかなか住み替えそのものもできないというような状況もございますので、そうした方につきましては福祉の観点で住み替えが困難というような方としてはその高齢の方、これの方は所得があってもなかなか年齢で離れてしまうというような状況があったり、あとは所得については新しい住宅を借りるといったところで、やはり課題になってくるというところを踏まえてもう補助要件を設定させていただいているということでございます。
以上でございます。
議長杉浦委員ご答弁ありがとうございます。
区の考えとしても最大限福祉的なことも考えてますというのは伝わってきております。
私はあの要望として先ほどお話した、括弧2の新たな家賃補助算定みたいなところでですね、この、もう少しこのこの15項の人たちをですね、今まで通り家賃は当然あるんだと思うんですけどもそういった形でですね、支援ができないのかなっていうふうに思います。
なので質問させていただきました。
最後1点だけなんですけども、コミュニティファン等については、これは何て言うんですか対応がその延長するっていうことですから、そこのところのたてつけとその勉強することによっての支援が困難になる、そういったことは大丈夫なんでしょうか？委員長　住宅課長住宅課長満了後の対応における着信基金の状況ということのご質問でございます。
この補助満了後の補助対象者とその補助額を現状の情報をもとに、算定をしたところを、特にその基金が枯渇するとかそういったことはなく、補助ができるというような確認は委員長相崎ICしましたこの15号の方に対してもですね、しっかりと次の天井のところも含めて、しっかりと対応できまして、サポートですねマンション型のサポートをお願いしたいというふうに私は要望させていただきたいと思います。
最後に資料9です。
中央区耐震改修促進計画改定についてということで、私はもうこの耐震改修のですね促進計画を本当にもう5年ということで、もう新たな5年がこれからまた進むのかというふうにちょっと思い、言いました。
過去にも何か質問したことがあるんですけども、本区ではこの他の自治体に比べて、この補助率という形で補助額も多いというふうに私は認識しております。
そういった中で、この少しずつこのですね耐震化町の耐震化を進めてきた。
ということで、今回新たななんていうんですかね。
この7年度で終了する次の新たな改定ということで、目標をまた新たに作っていく。
というところでございます。
そういった中で、今までのなんていうんですかね。
7年度で終了するというところの所感また2000年基準というところでここを追加した。
お考えですね。
その辺についてお聞かせいただきたいと思います。",2025/11/07,環境建設
議長建築課長建築課長,"はい、耐震化促進計画についてでございます。
これまで今の計画についてはですね、令和3年資料の方にもお示ししているんですが、令和2年3月時点から令和7年3月中でどのように変わってきたのかというふうに今見てみますと、住宅やお時間特定建築物についてはですね、この5年間の間大体0.7ポイントから1.2ポイント、耐震化率が上昇してきているところですので、評価するならば一定程度着実に進捗してきているだろうというふうに考えている。
でございます。
一方でですね前回平成28年の3月にですね改定した前回の促進計画のときからそのとき、どのような期間中の耐震化率の進捗があったかってちょっと確認してみたところですね。
その際には1.4ポイントから1.6ポイントの上昇だというところで、なかなか耐震化のその伸びについては少し鈍化してきているところがあるかなというふうに考えております。
私ども取り組みの中でですね、所有者訪問という形で、実際その旧耐震の建物の方の方を回らせていただいていろいろお話とか、お伺いしてるんですがやはりその辺もですね近年回ってる中で言えば、あんまりいいどちらかというと今耐震化の取り組み慣れてない方っていうのはあんまり耐震化について今関心がやはり薄いというところがちょっとあるかなというところがございます。
ですので5年間やってきた中でもですね一つ課題としては、そういうちょっと意識としてあまり耐震化に積極的じゃない方への働きかけを今後どうしていくのかというのが一つ課題として挙がってきていると思うと聞いている。
ありがとうございます。
2000年基準についてですが、新たにこの2000年基準というものを今回追加いたしました。
このこれまでの促進計画の中ではですね、やはり旧耐震というと、敷地としてやってきたところでありますが近年の地震熊本にしろ、能登半島にしろなんですが、そういう地震を実際被害を見ていく中でですね、やはり旧耐震だけではなくて、2000年基準娘基準というのが木造住宅の針とか柱の接合部分に関する基準がちょっと追加に選任されてるんですが、ここの部分を満たしてる満たしてないでもですね、住宅への被害の状況というのはやはり変わってきて、そういうところを踏まえまして、この度促進計画の中で、新たに対象として加えて今後、事例時期については取り組んでいきたいというふうに考えているところでございます。
以上であります。
委員長　、清宮委員御丁寧にご答弁ありがとうございます。
着実に耐震化を進めてきた。
というですねことで、これからもまた新たな計画の耐震化を進めていただきたいというふうに思います。
最後に一点ですけども、2000年基準の木造のみということで見出しない基準2000年基準を満たしていないとですね。
参考資料23ページになるんですかね参考資料の中で中央区内の耐震化の現状ということで、木造をということで160ここに記載がされております。
この辺のですね、耐震化への働きかけ、どのように考えてらっしゃるのか私も先般、あの書を照合防災訓練で回ったらですね、合計でわかりやすくですね、模型を作ってですねこういうラストになりますっていうですね、やらしていただく見さしていただいて、本当にこういうふうになるんだなってこういうふうにすると、耐震化ができるんだな、例えば何かそのものを思いました。
本区としての今後、その165働きかけ、についてお願いいたします。",2025/11/07,環境建設
建築課長建築課長,"はい。
今回新たに対象760円こちら160分の木造住宅働きかけの時これまでやってきたものから特段新たにですね、やっていくということというよりは、これまでやってきた地道な活動を、これの延長の中でそちらの160に対してのですね働きかけを行ってきている状況で。",2025/11/07,環境建設
あまり今委員長,"ご紹介いただいた通りですね、やってきた取り組みの中では、イベント等での機会を捉えてわかりやすくご説明する。
その中で2000年基準に対応する対応してないまたどう変わってくるのかといったことや、個別の訪問の中でもですね今後新たに2001人に満たない住宅を対象として個別にそこにお住まいの方消費者の方にお会いさせていただいていろいろお話をしていきますそういう中でもですね、その耐震性の重要性というものを訴えていきながら、その耐震化に繋がるような働きかけを行っていきたいと考えております。
以上です。",2025/11/07,環境建設
議長清宮委員,"ありがとうございます。
これからもこの次のですね改定計画の改定がすごくまた大切なというふうに思いました。
2000年基準その辺についてもしっかりと幅広く耐震化を中央区としても進めていくというふうに理解させていただきましたので今後ともよろしくお願いいたします。
以上で私の質問を終了いたします。
ありがとうございます。
次のご質問者の発言を願います。
川端委員よろしくお願いいたします。
私の方からは資料7、そして資料9についてちょっとお尋ねさしていただきます。
資料7居住継続援助事業補助満了後の対応についてということでございますけれども、このもう30年という長きにわたり、あの補助事業を続けてこられてるということで本当に感謝申し上げたいと思います。
この中でですねこの継続さらにお住まいになられてる方で、なかなかあの転居をままならないご高齢の(世帯ですとか65歳以上の高齢世帯それから全員が非課税の世帯を新たな補助対象者にするということでございますが、例えばですねこの5年でなりますと要介護者を抱えてらっしゃるご家庭ですとか、5世帯の中でその障害をお持ちの方ですとかこういった方もいらっしゃるかと思うんですけれどもこういった方に対するその補助事業の継続ということを文言として入れるというお考えはございませんでしょうか？委員長　住宅課長住宅課長保証要件対象者の保険でございます。
あくまでも充電社会人の方の居住継続ということで実施をしてきた事業でございます。
そうした中で、やはり補助が満了する中での住み替えというところに着目をして、その住み替えが住み替えをこちらも個別相談会を通じて促して、いったところでございます。
その中でやはり住み替えが困難なっていうところを不動産の団体さんからもお話伺ったりしながら、やはりその年齢でやっぱりネックになったりとか。
やっぱり所得の部分っていうところが、やはりございましたのでそうした形で住み替えが難しいというところについて年齢というところと、その所得というところで基準を設けさせていただいているところでございます。
以上でございます。",2025/11/07,環境建設
川田委員,"はい、その趣旨を受注理解をしているつもりではございますが、やはりご高齢の世帯、年齢の要件というのも転居に関しては非常に厳しい要件になると思いますけれどもやはり要介護のご家族を抱えてらっしゃる5世帯ですとか、障害をお持ちの方を抱えたご家族、なかなか勉強が難しい状況にあるかと思います。
押山、なかなかの対象世帯が限られておりますので、その世帯が含まれるかどうか。
あとは私の理解の範疇を超えておりますけれども、そういったケースも想定しましてですねぜひとも、もう一つ踏み込んでいただいて、ぜひとも要介護者要支援者を含めて、書いているご家庭を支えるという意味で、あの対象に繰入ていただければというふうに考えております。
ぜひともご検討いただきたいと思います。
続きまして資料9の方に移ります。
はい。
10億耐震改修促進計画の改定につきましてはということで今回5年5ヶ年計画の耐震改修計画案が出されてこれから検討していくということになりますけれども、耐震化工事、耐震化ですね住宅は木造住宅は特にですけれども、古い共同住宅も含めまして、地震に際して倒壊をしますと、特に救助といいますか、道路をふさいだりとかですね非常に災害の復旧支援が非常に滞ってしまうということもございますのでこの辺り今回の計画でも、更なる95%の達成率ということを今数字が出ておりますけれども、更なる高い水準を目指していただいて、ぜひともこの耐震化改修促進ということで主進めていただきたいと思いますが、日この耐震化がこの今例えば木造住宅の場合で、なかなか耐震化が進んでいないす。
今8%台で、あの数字が出ておりますけどもその原因というのはどの辺りにあるか、もう一度ちょっとお答えいただけますでしょうか？徐建築課長建築課長はい児童住宅の耐震化が最後のひと押しがなかなか進んでいないところも原因というところでございますが、先ほどちょっと消費者訪問というお話をさせていただいたんですがやはりそこで聞こえてくるお話だと、特に高齢者の方とかですと、なかなか極端な意見ではあるんですが自分はこれまでここに住んできてから大丈夫なんだという何か、ちょっと根拠のないような自信みたいなものがあったりだとかですね。
あとはそういう人生のベテランの方の方よくご発言あるんですがそのときは潰れちゃったらそのときはそのときだよっていうのはこういうのは発言もあるんですよね。
ですのでいかにですねそういうような実際に耐震化というものに向き合う。
そこで、の被害というのはその方だけの被害ではない町としての被害になってしまう。
いろんな人にいろんな悲しい思いをさせてしまうので、そこに対してどういうふうにアプローチどういうのが一番響くのかというところを考えて今後取り組んでいきたいと原因としてはそんなところを声として聞いていると以上川田委員ありがとうございます全員の質問とかぶっておりますけれどもそこでですね方ですねこのなかなか耐震化の意義を理解していただくと難しいという状況の中で、区として耐震化やはりあの費用も結構かかりますので。
あと、業者選定等も難しい面もありまして、なかなかあの子良い業者、そうでない業者というところもありますので、その辺りの靴をして働きかけ方今後ですね、ちょっと取り組みを少しご説明いただければと思います。
委員長。",2025/11/07,環境建設
建築課長,,2025/11/07,環境建設
建築課長,"、はい。
働きかけ方についてでございます。
働きかけ方についてなんですがこちらの本区だけでですねいろいろ対応するのはやはり限度があるというところがございまして、組合のですね関連する三つの団体、一つは建築紙事務所東京建築士事務所協会の中央支部、そしてもう一つは工務店の方が所属してらっしゃる。
東京中小建設業協会中央市そしてNPOなんですがまち作りと防災を研究している。
そんなその三つトップの方でタッグを組んでですね、中央区耐震促進協議会というのを結成いたしまして、その中でイベント等にですね、三者それぞれの強みを生かしながら、いろいろ所有者または住んでる方のご相談を受けたり、そういう対応を行っているところです。
こちらの方々ともですねそれぞれの強みを生かしながら、その方が抱えているような例えばその当時のことなのかとか、あとは設計上の話なのか、そういうところをいろいろお聞きして、それに必要なアドバイスや国会等ができるように取り組んでいるともちろんとしてもやはり経済的な部分については耐震の助成等をご紹介いたしながらですね、支援を図ったところでございます。
はい。
今お話出てまいりました女性の方なんですけれどもあの住宅金融支援機構さんの方で1000万円まで事業費の80%ですか。
女性が出るということでは融資を受けるということで聞いておりますけれども、80%ということで、残り20分の部分ですねそして補助を出すとか、そういったお考えがあるかどうかご検討いただけるかどうかちょっとご回答いただければと思います。
著建築課長建築課長有志の残り枠についての補助という考え方というよりは私どもの方ではかかった費用の半分ないしは高齢世帯については全額限度額あるんですが、そういうところでの支援を行ってますので引き続き、こちらの方に取り組んでいきたいと考えております。",2025/11/07,環境建設
川田委員,"ありがとうございます。
あともう一点だけなんですけれども木造ではないあの教授、共同住宅がですね、最近中古マンションの高騰もありまして、この間チラシをちょっと見ましたが、値段は安いなと思っていたんですけども、築50年以上のマンションリノベーションしておりまして、その辺りの問題点と、かなりこれから出てくると思いますので、耐震化のあたりも、区としても気をつけていただければと思います。
私も議題、環境保全および建設行政の調査について質疑に入りたいと思いますが、先ほどの角屋委員の質疑において、タイマー表示が一部停止を押してしまいましたが、指のタイマーで計測をしております。
使用時間を22分、残時間を17分として、質疑を続けさせていただきたいと存じます。
それでは議題に関する環境保全および建設行政の調査について質疑のある方はご発言をお願いします。",2025/11/07,環境建設
塚田委員,"はい、それでは私からいくつか質問させていただきたいと思います。
11月になりましたようやく暑さというのがなくなって、一気に冷え込んで参りましたけれども、今年の夏もですね3年連続で過去最高に平均評価水位を出すということで記録されております。
近年の猛暑ですね。
これは特別なことではなくて、もう年を追って、普通になってきております。
これはおそらくこの傾向はこの先もですね、また上がってくるかなと平均気温が上がってるのかという思いでですねって言うと、誠にもしもし。
健康被害のおっしゃることはないですね。
やはりどういった対策をしていくべきなのか。
今は大勢で考えてなかったようなところでもね、やっていかなきゃいけないのかなという思いで、考えているところでございます。
そこで、まずですね、道路舗装についてお尋ねいたします。
ちょうどオリンピック開催に向けてだったその頃だったと思うんですけれども、国道を初めですね。
そして区道においても施行されましたのが遮熱性舗装でございます。
路面温度を最大10度程度下げるというような効果があるのかですね。
公共対策の期待を背負ってそれからマラソンをやる計画もありました。
そういう意味では銀座通りを初め、あらゆるところでちょっと眩しいキラキラした感じの道路舗装でしたけれども、あれがあちこちに舗装されたのを見たわけでございます。
あれから6年、あるいはそれ以上経過しておりますが、現在ではあちこちで劣化と言いますが、少し表面が剥げてるような感じのところも見えております。
やはり耐用年数も何となくそれぐらいなのかなという思いで見ておりますけれどもこの間、6年7年を振り返っていただいてですね、どういう状況であるのか、それからこの細尾においての御所感、そして今後の活用などあれば、まずお聞かせいただきたいとす。
それともう1点ですね。
もう水ですねこれを下水管や土へと誘導する。
湧水性それから排水性舗装ございます。
やはり気温とともに、近年多発いたしますのが、短時間の豪雨でございます。
これがかなり日本全国で発生して、都内においてもですね、1時間に100名を超えている。
豪雨が降るこういう状況になっている中で、この本区においてもですね、やはりこの雨水のさばき方は先日視察で、加湿器のポンプ場すね。
あそこを見せていただきましたけども、あそこの所梨衣能力がやはり時間当たり70ミリという話をされておりましたけれども、現在ではそれを上回る雨の量が降る可能性があるわけで、そういう意味ではこういった本来の水の流れるルートと別にですね、こういった道路の下に要するに落として、なるべく分散させていくということが大変重要だと思っております。
その意味ではこれもあと湧水がそういうものですねそれから排水性においては、要するに道路のハイドロプレーニング現象軽減させるようなウィンター水水を下げるという効能かと思うんですけど、こういった要するに、フッター雨水を積極的に排水するような構造なわけですけども、このやっぱり当初から例えば目詰まりしやすいとか耐用年数はどうなんだとか、そういった懸念もあったんですが、これをいやいや初めて引かれてからですね、10年近く経過いたしますかね。
そういう意味ではこれについても、ちょっとここまでの状況そして現在ですね、それから近年では、かつては幹線道路に主に使われていたものかと思うんですが、細い路地なんかでも、最近はもうこれを使って、道路の舗装を変えていると、そういうような工事の御案内も出ておりますので、近年の使われ方そして今後の使い方のぞも含めてですね道路も機能舗装の2点についてお聞かせいただければと思います。
委員長。",2025/11/07,環境建設
道路課長,,2025/11/07,環境建設
道路課長,"はい、道路舗装についていくつかご質問いただきましたので順次お答えさせていただきます。
まず、遮熱性舗装についてでございますこちらにつきましては委員ご案内の通りですね、ヒートアイランド現象の緩和これを目的として平成18年度から本部としては整備の方進めてきているところでございます。
現在80%まで整備の方完了しておりまして、残りあともう少しというところになっておりますが、委員から先ほどご案内の通りですね、整備を始めて、だいぶ年数が経っているところにつきましては、だいぶ塗料が薄くなっている部分、これが見受けられるというところは認識しております。
今年度につきまして、梶橋通りで、薄い部分についてはですね、新たに取り直しということで、募集の方も行わせていただきました。
こちらにつきましては、道路点検等含めてですね、やはりその遮熱の状況をしっかりと見定めながらですね、効果がしっかりと表れるように今後も維持管理に努めてまいりたいというふうに考えておりますこちらにつきましては今後においても、まだ遮熱性舗装、整備してない路線がございますのでしっかりと計画を立ててですね、全路線、整備できるように努めてまいりたいと思っております。
また、今遮熱性舗装、整備されてるところにつきましても、今後も塗料のそのはげ具合等はしっかりと点検で確認してまいりたいというふうに考えております。
それから雨水のさばき方というところで、排水性舗装、それから車道透水性舗装のお話もございました。
こちらにつきましてもこれまで本区としては計画的に取り組んできたところでございます。
やはり最近のこの雨の降り方、これはやはりなかなか異常なものがあるというところで、雨水ますだけではなくて、やはり車道透水性含めてですね。
舗装の実際に水雨水桝に流すことなく、地下に浸透させていくといった取り組みも、やはり今後重要になってくるというふうに思っておりますので、こちらにつきましても、しっかりと今後も整備を進めてまいりたいというふうに考えております。
また、点検の中でやはり老朽化含めて、水溜りの箇所ですとか、そういったところもしっかりと把握して、改善に努めてきておりますので、今後もやはりそういった道路の状況というところについては、しっかりと職員で提供しながら、良好な道路関係維持に努めてまいりたいと考えております。
以上でございます。",2025/11/07,環境建設
