ID,会議の名称,発言者,人分類,発言内容,年度,年月日,委員会/本会議名称,議事関係
,令和7年 区民文教委員会(7月23日),村上教育センター所長,永井佳代,"今、お話のありました居場所づくりということで、例えば、なかなか学校に来られないお子さんに関しては、家庭訪問、スクールソーシャルワーカー、メンタルサポーターの利用を働きかけ、少し学校に行ってみようかということで、教室はなかなか難しいけれどもという形で別室を利用する場合もありますし、適応教室を利用して学校にという部分もございます。また、今年度、いよいよ９月からはバーチャル・ラーニング・プラットフォームという仮想空間での支援もスタートいたしますので、まずはそういった多様な居場所づくりを整えるとともに、そこから、例えば別室ですと、そこに担任の先生がちょっと声をかけに来て会話をしたりとか、オンラインで授業を受けていて、この時間だけちょっと行ってみようかということで教室につながるケースも多々あるというふうに聞いております。そういった形で重層的にといいましょうか、お子さんに合わせた対応をさせていただければと思います。

また、わくわく21では、できるだけ学校の学びと同じような空間にしようということで、今、委員からお話があったように、週ごとに日替わりで活動を行っております。スポーツであったり、園芸であったり、クリエイティブ活動であったりとか、できるだけいろいろな体験活動を行ったり、外に美術館見学や鎌倉に遠足に行ったりしながら、学校と同じような活動もできるだけ設けることで、できる限り子供たちの学びを、学校に行っている子たちと一緒のような空間をつくってあげて、少しでも学校復帰につなげられたらという部分で行っております。今後とも、そういった訪問支援も含めながら、活動を重複的にといいましょうか、しっかりと支援に当たってまいりたいと思っております。

以上でございます。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),永井委員,永井佳代,"御丁寧に御答弁いただき、ありがとうございました。

繰り返しになりますが、本区で既に整えていただいている３つの仕組みは、子供たちを支える上で非常に重要な土台であると思っております。子供たちの状況は一人一人異なり、その時々で必要な支援の形も変わってくると思っております。だからこそ、学びを止めないために、固定的な枠組みにとらわれず、柔軟な仕組みづくりが求められています。引き続き、お願いいたします。

適応教室では、学習だけでなく、安心できる時間を過ごすことが何よりも大切であると思います。そして、その経験が、学校に行ってみよう、次の一歩を踏み出してみようという気持ちにつながるのではないかと思います。そのために、学習支援の質を高める工夫や人材の確保、さらには家庭訪問や体験活動が本区の教育にさらなる厚みを加えるのではないかと確信しております。不登校は問題ではなく、子供の可能性を広げるための支援の出発点と捉え、誰一人取り残さない本区の教育を共に築いていきたいと思っており、そうした期待を込めて私の質問を終わります。ありがとうございました。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),山本委員,山本理恵,"よろしくお願いします。

私からも不登校の状況について確認をさせていただきたいと思います。不登校は、様々な要因が複雑に絡み合った問題であり、長期化することのリスクが心配されています。また、不登校は子供たちの将来の社会的自立を妨げる可能性のある重要な行政課題であると認識しております。

まず、不登校の定義について何点か確認をさせてください。

資料の中で不登校の定義の中に、何らかの心理的、情緒的、身体的あるいは社会的要因・背景により、と書かれているんですけれども、病気や経済的理由による者は除かれるということですが、まず、社会的要因・背景というのはどういったものなのか確認をさせてください。

また、インターナショナルスクールに通っているお子さん、籍だけ置いているお子さんがいらっしゃるかと思うんですけれども、こういった子は含まれるのかどうかについても確認をさせてください。

そして、通学区域の指定校と特認校、また自由選択制に通う子の不登校の傾向というものがございましたら、お知らせいただければと思います。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),村上教育センター所長,山本理恵,"こちらにあります社会的要因でございます。例えば、家族の不和であったり、コロナが数年前に流行しましたけれども、コロナでお休みしている場合は当然ながら病気になるんですが、少し不安な部分が広がってきたりですとか、そういった部分が社会的要因というふうな形で考えております。一方で、経済的理由のところはこの名のとおり、お金がないというような部分で学校に通えないということでございます。ただ、本区におきましては、経済的理由は例年ずっとゼロが続いておりますので、当てはまらないかなというふうに思っております。

インターナショナルスクールと、籍を置いているお子さんは、もちろん不登校とは別でございますので、こちらはカウントしておりません。

あと、特認校等々で何か違いはという部分ですけれども、学校とか地域とかで不登校の偏りがあるとか、そういったことは特に大きくはございません。

以上でございます。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),山本委員,山本理恵,"それぞれ御答弁ありがとうございます。

以前、特認校に通う児童の保護者から御相談をいただいたことがございました。特認校に通っていて不登校になってしまったということで、指定校に転校できるのか、すべきなのかといった悩みをお聞きしたことがございました。本来であれば、指定校に通っているお子さんが不登校になったら、ほかの学校に転校するというのはなかなか難しいかと思うんですけれども、特認校に通っている子が指定校に戻るといいますか、転校する可能性についてお聞かせいただければと思います。また、そういったお子さんがこれまでいらっしゃったのかどうかについても確認をさせてください。

２点目に、先ほど前委員の質疑でもありましたけれども、卒業後のフォロー、義務教育が終わった後のフォロー体制が非常に重要であると考えております。答弁の中で、全員の追跡はできていないといったお言葉がございました。現在の中学校卒業後、小学校を卒業して中央区の中学校に通うのであればいいですけれども、私立もしくはそのままどちらにも通われないとかもあるかもしれませんので、小学校卒業後、中学校卒業後のフォロー体制の現状についても確認をさせてください。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),清水学務課長,山本理恵,"私のほうからは、指定校の変更というところでお答えをさせていただきます。

指定校の変更の基準の中で、居住地だとか、きょうだい関係とか、そういったいろいろな事由で条件としてお認めする場合がありますけれども、例えば特認校のほうに通って、学校に合わないとか、そういったようなことがあった場合、そのお子さんの状況にもよりますので、一律にお認めするとかしないとかというお答えはできないですが、その時点でのお子さんの状況と受入れ側の学校の状況などを勘案して、お認めするケースも可能性としてはあるというようなお答えになります。そういう事由で変更したというカウントはございませんけれども、指定校変更としては、様々な状況を勘案してということで行っております。

以上でございます。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),村上教育センター所長,山本理恵,"卒業後のフォロー、義務教育が終わった後ということで、先ほど高等学校の進学のお話をさせていただきましたが、通信制の高校に通うお子さんが増えてきている傾向は１つあります。我々教育センターのほうとしては、中学３年生の段階で不登校傾向のあるお子さん、不登校のお子さんに関しては、スクールソーシャルワーカーが何らかの形で必ずつながるようにしています。といいますのも、やはり高校に行ってしまうと、なかなか詳細に把握がしにくくなりますので、教育センターでは高校３年生、18歳になる年齢までは教育相談を行っておりますので、そういったお子さんを何とか教育相談のほうにだけでもつなぐ、お子さんだけでも、保護者もつながれば一番いいんですけれども、そういった形で今も高校生世代のお子さんが教育相談にかなり来ていまして、そういったお子さんは小・中学生時代に不登校経験者というお子さんの割合がやはり多いです。そういったところで、何とか18歳までは我々のほうでつないでいき、高校がどんなふうに通えているか、いろいろなお子さん、定時制、通信制、たくさんいらっしゃいますので、そういった状況をできるだけ把握してフォローさせていただくということはしているところです。また、18歳以降については福祉のほうにつなげられるような形で、ですので、中学３年生の段階でそういった傾向のあるお子さんは何とか逃さないようにという形は意識をしながらやっているところでございます。

以上です。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),山本委員,山本理恵,"それぞれ御答弁ありがとうございます。

子供とのつながりに関しては、18歳までは教育センターとつながりを持ち、18歳以上に関しては福祉との連携で対応していると理解させていただきました。ぜひ切れ目ない支援をお願いしたいと思います。

子供とのつながりもすごく大切だと思うんですけれども、保護者、親とのつながり、家庭とのつながりも非常に重要であると考えております。今回、不登校になったきっかけと考えられる状況が示されているんですけれども、まず１つ目に聞きたいのが、家庭環境や生活リズムの乱れが不登校のきっかけとなっているケースが見受けられます。子供への支援に加えて、家庭のサポート、支援の現状と課題についても確認をさせてください。

また、不登校の児童・生徒の保護者というのは、それぞれ、やはり悩みを抱えている、ストレスを抱えている場合が見受けられます。保護者同士の交流やネットワークの構築など、取り組まれているのであれば、お聞かせください。子供も孤独、孤立している状況にありますが、その家族も同じ状況にございます。安心して相談できる、悩みを共有できるような場は設けられているのかお聞かせください。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),村上教育センター所長,山本理恵,"まず１点目、家庭への支援という部分でございます。

先ほど申しました教育相談に小・中学生の保護者、親子で係っている不登校のお子さんはかなりいらっしゃいます。その場合は、親の担当者、子供の担当者という形で連携しながらやっているところでございます。また、適応教室にもいらっしゃるお子さんの保護者も不安を抱えながらいらっしゃっています。適応教室にも心理職の担当の職員がおりますので、通室する段階で必ず面談をさせていただいて、どういったところが御不安なのか、どうして学校に今通えなくなっているのかというあたりをかなり詳細に聞き取りをさせていただいて、支援に当たらせていただいています。ただお子さんを預かってお返しするだけではなくて、保護者の相談、電話連絡だけではなく、時にはお子さんを預けている間に保護者の面談を適応教室の心理職がやる場合もあります。また、教育相談のほうに係っていただいて、親子でという場合もあります。今、委員のお話があったように、不登校になるお子さんの保護者はかなり御不安を抱えていますので、そういった形での支援に当たらせていただいているところでございます。

２点目の保護者同士の交流、また共有という部分ですけれども、そのあたりについては、現時点では何か保護者会であったりとか、保護者同士がコミュニケーションする場を提供させていただいているわけではありません。ただ、そのあたりは、ニーズに応じて今後も対応を検討させていただければと思います。

以上でございます。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),山本委員,山本理恵,"それぞれ御答弁ありがとうございます。

子供の心のケアと同時に、ぜひ保護者の心のケアもお願いします。また、こういった保護者に関しては、いわゆるママ友とか、ほかの保護者と子供の不登校の話はなかなかしづらいと思うんです。孤立しがちでありますので、保護者同士の交流ができるのであれば、そういった場をつくれるのであれば、ぜひお願いします。

以前いただいた不登校の御相談で、これは先ほどとはまた別なんですけれども、保護者同士のトラブル、不和が原因で子供が不登校になってしまったケースがございました。保護者同士の人間関係がぎくしゃくしてしまったがゆえに、それを気にして子供が学校に行けなくなってしまった、友達と遊べなくなってしまった。子供が不登校になったことが原因ではなくて、逆に、保護者同士のトラブルが原因で子供が学校に行けなくなってしまった、そういったケースもございますので、ぜひ双方のサポート、支援をよろしくお願いいたします。

以上で終わります。",,2025/7/23,区民文教委員会,議員
