発言者,発言内容,年月日,会議の名称
子供子育て支援課長,"はい確保絶えず単位でのそういった情報共有することに書いてございます。
公立保育園におきましては毎月園長会行っておりまして、その都度都度ですね、様々面で起きたこともそうですけれども、そういった情報共有する場を設けておりますので、そうした中で、横展開といいますか、9さしていただいてるとこでございます。
以上でございます",2025/11/10,福祉保健
高橋委員,"はい。
ぜひそういった横展開も含めて区全体としてそういったセキュリティ強化や再発防止策が進めれば進めるような動きを積極的に図っていただければと思います。
続いて資料に私立認可保育所における不適切保育事案に係る報告書についてについて質問をさせていただきます。
これは一般質問等で何度か取り上げさせていただいた事項ではございますが、しっかりと報告書にしてご報告をいただきありがとうございます。
やはりこういった事例、特にやはり気になるところはやはり再発防止策の部分になるかと思います。
発生してしまった以上はそういったこれもどの園でも発生する可能性もあると思ってます。
この再発防止策についてお伺いをさせていただければと思います。
やはり今回例えば、職員間の連携強化や例えば区の巡回指導の見直し、相談通報窓口の明確化カメラの設置支援検討など様々な対策を真打ち立てていただいたかと思います。
まずはこの再発防止策につきましては、この報告書を今回いただいた時点で、これが全てもう実行されていると考えていいのか。
今回再発防止策を立てました。
何ヶ月あるいは漸減に対してどれぐらいの期間をもって再発防止策が徹底されていることを確認するとか、要はこれが今回の報告書をもちまして基本的にこの再発防止策は全ての園で対応が完了しているのかという点について確認をさせていただければと思います。
また今回やはりこういったことが発生しますこれはもちろん、国会等で情報共有はされているかと思いますが改めてこの多くの巡回指導というものの何か一斉的に今回の事件を受けた上で、巡回指導を行っていきますというようなご報告だったと思いますが、この巡回指導につきましても、まずはこのこれまでの期間の中で少なくとも1回あるいは何回かもう既に実行がされているのかという点についてお示しいただければと思います",2025/11/10,福祉保健
委員長保育課長,"はい。
今回の報告書について今日初めて皆様にお示ししたところでございまして、今後これをもとに園長会において臨時委員長会を開かせていただいてそして、どういったことが課題だったのかそしてどういったことを今後再発防止策等を勘案して考えていくのかというのは丁寧に説明していきたいと思っております。
それを冬季に様々な海再発防止策それぞれの援助可能な限りやっているところについて事実をしっかり確認していきたいというふうに考えてございます。
もう一点なんですが、巡回指導につきましては、このページの件があるない方まずいるところでございましてこの件があって、より意識したところにつきましては、今までは虐待防止につきましては虐待の防止の研修をしていくかというところだったんですけれどもやはりこの虐待のこの報告書をまとめる中においてもやはり職員間のコミュニケーション不足っていうところもかなりあの課題にあったのかなというところがございまして今まで園長に聞き取るところがすごく多かったんですが、できるだけ個別の先生にも声掛けをいたしまして、少し心配だなと思うところにつきまして要は、遠方への中での風通しの良さです。
そういうところについては、とても大切な視点だというところを改めて認識しましたので、そういったところを確認いたしまして必要に応じて延長やあの事業所に声掛けをしているというところでございます。
以上です。
はい。
それぞれありがとうございますこれから園長会等でその配布再発防止策について、区としても推進をしていただけるということで理解をさせていただきました。
やはりあのこれももう6月発生の大事件ですのでできる限り早期に各園が体制を整えるように推進をしていただければと思いますのでよろしくお願いをいたします。
またもう一点お伺いをさせていただきます。
やはり今回のやはり今回の再発防止策の中には、なかなか含めることが難しいかとは思いますがやはり個人のを支出に起因するというよりも、やはり円全体での体制あるいは区全体としてやはり保育士不足の現状というところがやはり一番かなり大きくウエイトを占めてくるのではないかと思っております。
これについてはやはり一朝一夕で学校を保育士を増やすというのも難しいですし、おそらく国全体としてあるいは東京都全体として保育士が不足している待遇の点眼という中で、なかなか一朝一夕に解決する課題ではないとは思っておりますが、やはり今回の事件を受けても、やはりその事業者に対するサポートあるいは保育士の環境改善という部分についても、やはりが何らかのテコ入れをするというようなお考えにあるのか。
現状で何か予定をしていることを考えていることがあるかという点について教えてください。",2025/11/10,福祉保健
子供政策推進室長,"、子供施策推進室はい。
この先ほどのお尋ねの件で少し触れさせていただきますけれども、何て言いましょう。
この体系的なといいますかこの報告書といたしましては今般整理をさせていただきまして、皆様方議会の方にお示しをさせていただいてるところでございます。
きちっとした形での総括をさしていただいたところではございますけれど、少し時系列のところでですね、いくつか触れさせていただきますと、例えば7月の15日には子供子育て会議等においてこういった事案が発生した旨を会議体に報告させていただいたりですとか、あるいは7月24日でしょうか区内私立認可および事業者安全安心な保育の実施について通知ですとか、8月21日にも同様な取り組みをしてるとこでございますこうしたようにですね、体系的なものにつきましては今回が報告書という形でお示しさせていただいておりますけれども、当然ですね公立保育所それから私立の認可保育所、こういった事案が発生してしまった人だということで大変これ不適切なことだということは直ちに情報提供をさせていただくとともにですね、まず第一報としてはこういったことは絶対あってはならないんだというようなことをしっかりと工事業者にまずは第一報ということで周知したとこでございます。
ですんで、これから改めてその研修というよりはですねまずは第一報はさせていただきますので速やかに対応している旨でご理解できればと存じます。
以上でございます",2025/11/10,福祉保健
情報課長保育課長,"はい。
突然の保育士不足につきましては本当に非常に喫緊の課題というふうに考えておりますが、やはり全国的に保育士が不足しているのか。
どうやって保育所を確保するというのはなかなか難しいところがございます。
その中でですね、保育士さんの仕事以外の部分をまとめて保育士の資格を持ってない方も補助として入っている。
それにつきましては補助金を充実させているところでございまして、特にですね、今度そういう人がたくさんいるのか、またそこにもまた人手不足区としてできることとしましては、あのシルバー事業センターやシル川区中央の方に私立園長会の方に来ていただいて、こういった業務だったらできますよということも信号させていただいているところでございます。
令和6年には数件だった件数もですね令和5年にはその2倍か3倍に伸びておりましてそういった事実は、地道な努力を通じながら、福祉部署不足の代わりになるところをしっかりと対応していきたいというふうにはいそれぞれありがとうございますその事件発生以来発生直後から様々な形で映画に対しては情報共有や指導通知をしていただいているということで理解をさせていただきました。
またやはりこの全国的な保育士の不足の中なかなかできることというのも限られてくるかと思いますがそういったシルバーマーク中央とのマッチングと、様々な働きかけを行っていただいているかと思います。
やはり引き続きこういったいろいろな様々な背景があったかと思いますので様々な側面から区としても対応している。
ですので、よろしくお願いいたします。
以上で質問を終わります。
ありがとうございました。
よろしくお願いします。
私からも私立認可保育園における不適切保育事業に関わる報告書について1点質問させていただきます。
今回のこの再発防止策の中で、区の巡回指導の見直しっていうのがございまして、この案件があった段階で私様々な区でどのようなその巡回指導がされているのか、少し聞き取りをしましたあの本区の中でもいくつかの事業者保育園に伺ったところ、このあの本要はその巡回指導は他の区と比べて非常に多いというのがわかりまして、非常に高い親切に細やかに巡回をしていただいてるっていうのは、確認させていただいております。
その中で、これその巡回をされる。
方は、区の職員なのかっていうことをちょっと一点確認させていただきたいんですけれどもお願いします。
課長",2025/11/10,福祉保健
保育課長,"はい。
巡回につきましては基本的にこのもっと延長、区立保育園の園長の方の先生中心に回って、いうところでございます。
あと一部客観的な目が入るようにということで民間の委託業者にも回っていただいているところでございます。
です。
一部民間の委託の方がいらっしゃるということが確認できました。
なぜ私がこのようなことを伺ったかといいますと、一部の園の方から、もしくはもしかしたら既にその保育のいろんなご経験をされた方かもしれないんですけれどもお昼寝の呼吸確認についてある鶏舎の保育園の園長さんの方から通常はその1010分に1回ぐらいきちんと息をしてるかどうか確認するようなことを指導を受けているんだけれども、本来はその体に触れてはいけないところが目や耳で実際に呼吸してるのか確認するようにというような指導をその園で流行っていたそうなんですけれども巡回されたような、その方々が実際に触ってくださいという。
ご父兄の方からちょっと誤解を受けるような指導されたということで、それについて意見をしたところ、これはちょっと区に確認しますということでその場できちんとした指導がいただけなかったというところでお伺いしたかったんですけれども、そのいま自宅や保育の経験のある方々が巡回されている中で、区とのその情報とあの巡回をする、その内容ですね、それがきちんと周知されているのかどうか教えてください",2025/11/10,福祉保健
保育課長,,2025/11/10,福祉保健
保育課長,"、はい。
あの子のお昼寝のところというのは食事とお昼寝が一番死亡事故が高い。
ところでございまして、区は本当に巡回のところそこを中心に見てもらってまいっているところでございます。
呼吸を確認するっていうところもなかなか難しくて、実際に小体に手を当てるっていうか当ててくださいっていうことは区として指導しているところです。
というのは、体に触れて温度を確かめて、それで万が一そこですごく温度が低かったりとか、万が一ものすごく暑かったりとかしたら、すぐに対応しなくてはいけないので必ずそこはちゃんと丁寧にやってくださいそれで呼吸確認してください。
それが死亡事故をし、そういうのを防ぐとなってますのでそこは徹底しておりますし、委託業者に対しても同じような指導をしているので、ただそれが自信を持って答えられなかったことについては、そこは改善の余地があるかなと思っておりますがそういった趣旨でやっておりますので、ご理解いただけるとありがたいです。
以上です。
ぬるい。
丁寧な巡回ありがとうございますそうするとその国の正しい巡回のやり方を書く園長の方々や、また保育士久慈の方々がきちんと認識されていなかったということでありますので、それはあの次回の町会や保育士の指導の中でどのようにするのか徹底をしていただきたいと思います。
続きまして、今度は敬老館について行政評価というか、今回資料のこの一番の中で様々な指定管理者の評価結果がある中で、敬老館については運営されている会社が一つであるということで、三つまとめての評価結果になっているんですね。
ただ運営業者が委託業者が違う中でも保育園はそれぞれある中でどどどどういった経緯経過でこの敬老館だけは三つまとめて評価になっているのか教えていただきたいと思います。",2025/11/10,福祉保健
院長高齢者福祉課長高齢者福祉課長,"はい。
敬老館につきましては3巻とも同じ悪臭を株式会社というところで指定管理を運営をお願いしているというところであの山間ある程度利用者さんの特徴等で独自の部分もなくはないんですけれども基本的には運営のやり方は統一する。
ように、3巻の館長が毎月館長会議で集まって、あの情報共有をしたりですね、こういう時はどうしたらいいかとか相談したりやって、統一するようにしておりますし、統括官長ということで区長の本部の方の統括の方もいらっしゃるので、基本的には同じやり方を3館ともやれるようにということで、やっているので評価もあの参加を開けるというのがなかなか難しいというふうに考えております。
今一番初めに申し上げた通り、保育園については指定管理者が同じような会社であっても、多分わかれて毛評価をしているかと思います。
なので、今一度これ各経路かによってやはり各館長さんが様々な工夫をされながら、本当に楽しいイベントやいろんなことをされていると思いますのでこれ三つ一緒で本当にいいのかどうか改めて教えていただきたいんですけれども院長副職部長、福祉保健部長例えば他の施設保育園などについて、例えばですけどもベネッセアイケアが八丁堀物件と三富町保育園など複数の事業者を運営しております。
これは結果として同じ業者であって、それぞれ選定する過程では別々で事業者を選定している結果として同じ業者になったというところでございます。
経路につきましては、この3館を一体的に運営するっていう前提で事業者を募集しておりましてその結果この事業者が決定されているというところですので、敬老会については一緒に参加をまとめて全体としての評価をする。
他の施設については結果は同じでしたけれども、別々の選定過程の中で、選ばれたというところですのでそれぞれの運営を評価しているというその違いでございます。
以上でございます。
ルール委員承知いたしました。
しかしながら、各敬老会において非常に特色のある、それぞれのエリアによってやはり利用者さんが求めているところも違ったりいたしますので、今後もし何か見直す機会があるようでしたら、この三つまとめてではなくそれぞれの敬老館がどのような形で、どのように利用者様から満足度いろいろいただいているのかと清掃ですとか、いろんなことについて評価をしていただきたいと思います以上です",2025/11/10,福祉保健
黒原委員,"はい、参政党の黒原ですよろしくお願いいたします私からも資料1と資料についてそれぞれ伺っていきたいと思います。
まず資料1なんですけれども、指定管理者の評価結果ということでですね、どれもいずれも最終的には適正ということで、評点といたしましても80点以上というところになっておりますその中で、私としましては注目したのは、評点の低い個別の項目でございまして、その中でですね、各評価の中で3利用者の満足度、そのうちの③苦情対応というところでいくつか評点が3ですね。
まだ低い点数を取ってる次事業というか、指定管理者があったということです例えばポピンズリペアさんですねリペア者が8番と10番の新川児童館つけた児童館と出してますけれどもそれが山であったり、ライクキッズ者がですね小泉町児童館12のエドはるみごめんなさい9の堀米町児童館12の晴海児童館でその評価だったということです。
こちら内容を見ますとそれぞれアンケートをとられているというところでですね。
特に優れている、優れているといった評価が少なかったので、3評価としましたということでございます。
これはちょっと私の個人的な意見ではありますけれども、こういうアンケートをとったときにですね、答えてくださる方っていうのは比較的この好意的に見て良い評価を出されるパターンか。
何か言いたいことがあって苦情等でですね低い評価になるという傾向が強いのかなというふうに思っているんですけれどもそうした中でですね個別に特に何かあったというわけではなさそうなんですが、評点としては良い評価を受けやすいところがあまり高くなかったということでですね、もちろん適正ではあるということなんでしょうけれども個別には、それぞれの施設のありようがですね、どうなのかというところを確認してもいいのではと感じております。
実際に今回のこの件を通じてですね、こうした点について着目されて何がしか対応なり対話をされているのか、そういった点について教えてください。
お願いいたします",2025/11/10,福祉保健
